sampleid,generation,condition,parentplant,parentcondition,plantinggroup,growthchamber,shelf,combocondition,sampletype,fresh.root.weight_g,dry.root.weight_g,fresh.shoot.weight_g,dry.shoot.weight_g,fresh.pods.weight_g,dry.empty.pods.weight_g,pod_number,seed_number,dry.seed.weight_g,dry.pod.total_g,30dry.seed.weight_g,total.upper.drymass_g,date_of_licor,photosynthetic_rate,stomatal_conductance
ROOT_G1_D1,1,Drought,G0_bulk,NA,NA,1,bottom,NA,Health,43.37,3.19,39.76,6.72,65.34,5.34,8,38,16.54,21.88,13.01,28.6,NA,NA,NA
ROOT_G1_D2,1,Drought,G0_bulk,NA,NA,1,bottom,NA,Health,39.78,2.93,36.09,5.97,54.16,6.4,11,31,12.55,18.95,12.13,24.92,NA,NA,NA
ROOT_G1_D3,1,Drought,G0_bulk,NA,NA,1,bottom,NA,Health,47.62,3.42,44.99,6.94,70.83,6.44,11,37,14.07,20.51,11.5,27.45,NA,NA,NA
ROOT_G1_D4,1,Drought,G0_bulk,NA,NA,2,bottom,NA,Health,42.53,5.39,45,6.98,63.53,5.42,10,37,13.62,19.04,10.97,26.02,NA,NA,NA
ROOT_G1_D12,1,Drought,G0_bulk,NA,NA,2,bottom,NA,Health,33.63,4.82,43.55,8.12,67.35,6.81,12,42,14.74,21.55,10.76,29.67,NA,NA,NA
ROOT_G1_C1,1,Control,G0_bulk,NA,NA,2,bottom,NA,Health,38.71,3.29,42.32,8.19,69.53,6.75,13,43,16.62,23.37,11.81,31.56,NA,NA,NA
ROOT_G1_C3,1,Control,G0_bulk,NA,NA,1,bottom,NA,Health,58.08,6.53,53.54,9.01,66.71,6.28,9,36,15.54,21.82,13.14,30.83,NA,NA,NA
ROOT_G1_C7,1,Control,G0_bulk,NA,NA,1,bottom,NA,Health,35.1,4.18,51.37,9.23,60.78,5.09,7,35,14.9,19.99,12.82,29.22,NA,NA,NA
ROOT_G1_C9,1,Control,G0_bulk,NA,NA,2,bottom,NA,Health,57.15,7.7,68.89,11.66,68.18,7.75,14,40,13.62,21.37,10.01,33.03,NA,NA,NA
ROOT_G1_C14,1,Control,G0_bulk,NA,NA,1,bottom,NA,Health,30.06,3.87,57.67,10.93,54.26,5.54,9,30,11.25,16.79,11.25,27.72,NA,NA,NA
ROOT_G1_N1,1,Nutrient,G0_bulk,NA,NA,1,bottom,NA,Health,42.89,4.52,52.34,9.28,70.03,6.98,11,38,14.68,21.66,13.32,30.94,NA,NA,NA
ROOT_G1_N6,1,Nutrient,G0_bulk,NA,NA,1,bottom,NA,Health,42.82,3.73,65.05,10.83,62.74,5.88,10,30,13.38,19.26,13.38,30.09,NA,NA,NA
ROOT_G1_N9,1,Nutrient,G0_bulk,NA,NA,1,bottom,NA,Health,41.91,3.91,72.45,11.88,57.5,5.82,7,32,14.13,19.95,13.23,31.83,NA,NA,NA
ROOT_G1_N12,1,Nutrient,G0_bulk,NA,NA,2,bottom,NA,Health,39.6,5.53,65.62,11.25,38.06,5.8,10,34,13.53,19.33,12.11,30.58,NA,NA,NA
ROOT_G1_N14,1,Nutrient,G0_bulk,NA,NA,2,bottom,NA,Health,53.51,4.99,89.46,16.27,58.69,7.55,14,40,13.74,21.29,12.27,37.56,NA,NA,NA
ROOT_G1_D1B,1,Drought,G0_bulk,NA,NA,1,bottom,NA,LiCOR_ExtraSeeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8_3_2020,5.929,0.044
